company,sector
verti,agriculture-construction-mining-machinery-manufacturing
altamoda,banking
veesion,business-intelligence-platforms
riot,computer-and-network-security
kuai,ecommerce
figs-education,education
citron.io,energy
hyperplan,farming
bdo,finance
lydia,fintech
kumo,food-and-beverages
perfectearthfood,food-and-beverages
clone,food-tech
zelty,food-tech
44.01,green-tech
figs-education,higher-education
mutual-b-industry,household-appliance-manufacturing
alenia,information-technology-and-services
capsule-insurance,insurance
diesta,insurance
ega-commercial,international-trade-and-development
revibe,internet-marketplace-platforms
meditect,it-services-and-it-consulting
staytouch,it-services-and-it-consulting
mg-motors,manufacturing
qumin,marketing
wpp,marketing
faks,medical-equipment-manufacturing
mg-motors,motor-vehicle-manufacturing
meditect,pharmaceutical-manufacturing
urbest,real-estate
cedric-grolet,restaurants
sketch,restaurants
veesion,security-systems
software-club,software-development
veesion,software-development
roger,technology
urbest,technology
kuai,technology-information-and-internet
nerdcow,technology-information-and-internet
truckoo,truck-transportation
aunalytics,venture-capital-and-private-equity-principals
cathay-capital,venture-capital-and-private-equity-principals
ufp,venture-capital-and-private-equity-principals
mangrove,web3
nested,web3
pyratzlabs,web3
webverse,web3
