mission,location,slug,label,type,level,parent,longitude,latitude,code,currency,phoneCode,timezones,isCapital,airtableId,created,updated,synced,title,airtableId,company,recruiter,customerSuccess,seatsCount,position,exampleLinkedInUrl,videoDescription,jobPresentation,teamPresentation,requirementsDescription,softSkills,possibleEvolutionsDescription,employeeAdvantages,otherPrecisions,customQuestions,forbiddenHeadhunting,recruitmentProcess,jobType,jobStart,jobEnd,salaryMin,salaryMax,salaryCurrency,created,updated,synced,locationType,cpSuccessFee,status,compensationModel,trialPeriod,paymentSchedule,exampleLinkedInUrlCompany,notesFromCsm,clientWebsite,clientCalendly,clientPhone,clientRelationship,clientPerpectives,clientPastExp,clientFeelings,clientFunraising,sectorExpMax,positionExpMax,sectorExpMin,positionExpMin,cpBounty,minHeadhunterCut
rec9RDss2TSARp40h,americas/united-states,americas/united-states,United States,Country,3,northern-america,-97.00000000,38.00000000,USA,USD,1,"UTC-06:00,UTC-05:00,UTC-07:00,UTC-08:00,UTC-10:00,UTC-09:00",,recNA46KtfJ0crl2t,2023-04-21 09:52:19,2023-04-21 09:52:19,,StayTouch - Ios Developer,rec9RDss2TSARp40h,staytouch,,lery,1,ios-developer,,,,,,,,,,,,,,,,,,,2023-04-21 09:54:55,2023-04-21 09:54:56,,,0.064,Paused,,,,,,,,,,,,,,,,,,,
recA3Ye1PMACJlO1Z,americas/united-states,americas/united-states,United States,Country,3,northern-america,-97.00000000,38.00000000,USA,USD,1,"UTC-06:00,UTC-05:00,UTC-07:00,UTC-08:00,UTC-10:00,UTC-09:00",,recNA46KtfJ0crl2t,2023-04-21 09:52:19,2023-04-21 09:52:19,,StayTouch - Backend Developer,recA3Ye1PMACJlO1Z,staytouch,,lery,1,backend-developer,"<p><a href=""https://www.linkedin.com/in/victor-bojica-0a1b9395/"" target=""_blank"">https://www.linkedin.com/in/victor-bojica-0a1b9395/</a></p>
",,"<ul class=""liste"">
<li>Work with team of engineers to build large scale systems</li>
<li>Debug issues in production environment</li>
<li>Communicate effectively with the team and stakeholders</li>
<li>Have get go and fix, positive engineering and work as team attitude</li>
</ul>
","<p>StayTouch is a fast-growing Californian start-up created in 2018<br>
It's an innovative global app designed to shake up the way we network, has officially launched in the UK. Offering a simple way to share contact information and remember who we met where and when, the app is available on iOS and Android devices and has already attracted downloads by early adopters.</p>
<p>The platform allows users to exchange contact information by simply touching their phones. It offers a range of built-in features, from the ability to add personal notes for each meeting to automatically syncing your profile updates across your network, helping people create more lasting and meaningful connections<br>
Ready to change the world of networking. It's a next-generation contact management solution<br>
Designed for young professionals to solve all networking problems.</p>
<p><strong>Key features include:</strong></p>
<p>-Smarter way to exchange contact information: Simply touch two phones together to exchange details and save your meeting.</p>
<p>-Memorize a meeting: When you exchange details, the platform automatically saves the date, time and location of that exchange.</p>
<p>-Add personal notes: Add memos, recordings and photos to each contact to remember key details, from how you met to what you talked about.</p>
<p>-Alternative to business cards: With millions of business cards thrown away each year, the app offers a more environmentally friendly approach.</p>
<p>-Automatic profile updates: When you make changes to your profile, the application automatically transfers them to all your contacts.</p>
<p>-Multiple profile creation: Ability to create different profiles allowing users to control the personal information they share with each contact.</p>
","<ul class=""liste"">
<li>Experience in building backend data services and Microservices at scale</li>
<li>Experience leading and architecting major new enhancements</li>
<li>Strong understanding of web services and best practices    Strong experience with managing the security aspects</li>
<li>Have working knowledge on following technologies:<br>
Node.js – GraphQl – AWS  - Express JS – PostgreSQL - Hasura</li>
<li>Experience – min 7 years experience</li>
<li>Experience in a tech start-up or large company</li>
<li>Have stayed in a company for at least 2 years</li>
</ul>
",,,,,"<p><strong>Can they create a GraphQL API?</strong><br>
<strong>Can you do a docker mechanism?</strong><br>
<strong>Are you familiar with AWS and ECS? Have you created architecture with them?</strong><br>
<strong>Are you familiar with Blue/Green mechanism?</strong></p>
",,"<ul class=""liste"">
<li>Technical Test</li>
<li>Interview with the Founder</li>
</ul>
",Full Time Job,2023-04-03,,65000,120000,$,2023-04-21 09:54:55,2023-04-21 09:54:56,,Full Remote,0.08,Dead,,,,,,https://www.staytouch.com,,,"<p>Very good relationship with Staytouch.<br>
Serious client who does not hesitate to give positive and negative feedback to make the recruitment process much easier</p>
","<p>The company is looking to expand its workforce by 2024 and would like to complete three more developer hires after this one</p>
","<p>We have already been approached by this company for other IT recruitment in the past</p>
",,,,9,,6,5200,0.50
recTxgcqkCX1YBpRB,americas/united-states,americas/united-states,United States,Country,3,northern-america,-97.00000000,38.00000000,USA,USD,1,"UTC-06:00,UTC-05:00,UTC-07:00,UTC-08:00,UTC-10:00,UTC-09:00",,recNA46KtfJ0crl2t,2023-04-21 09:52:19,2023-04-21 09:52:19,,StayTouch - Frontend Developer,recTxgcqkCX1YBpRB,staytouch,,lery,1,frontend-developer,,,,,,,,,,,,,,,,,,,2023-04-21 09:54:55,2023-04-21 09:54:56,,,0.064,Paused,,,,,,,,,,,,,,,,,,,
recX5s0aDnf7myc85,americas/united-states,americas/united-states,United States,Country,3,northern-america,-97.00000000,38.00000000,USA,USD,1,"UTC-06:00,UTC-05:00,UTC-07:00,UTC-08:00,UTC-10:00,UTC-09:00",,recNA46KtfJ0crl2t,2023-04-21 09:52:19,2023-04-21 09:52:19,,StayTouch - Quality Assurance Analyst,recX5s0aDnf7myc85,staytouch,,lery,1,quality-assurance-analyst,,,,,,,,,,,,,,,,,,,2023-04-21 09:54:55,2023-04-21 09:54:56,,,0.064,Paused,,,,,,,,,,,,,,,,,,,
recDVuCcjwX5kSgiz,asia/china,asia/china,China,Country,3,eastern-asia,105.00000000,35.00000000,CHN,CNY,86,"UTC+06:00,UTC+08:00",,recd2JuaCjBahAJjn,2023-04-21 09:52:19,2023-04-21 09:52:20,,Kuai-Head of IT,recDVuCcjwX5kSgiz,kuai,jonnyplein@kuaicommerce.com,lery,2,head-of-it,,https://drive.google.com/file/d/1ROszlQ3Bf54rrmMb2KMh2griQK8e8GbE/view?usp=share_link,,,"<p>Experiences in cross-border ecommerce<br>
Need to be very familiar with logistics integrations<br>
Understanding of warehouse management solutions<br>
Deep understanding of ERP solutions<br>
Experiences in dealing with any of the tools that allowed you to build Social Commerce store front<br>
Experiences with frontend and backend technology</p>
","<p>Teamwork<br>
Leadership<br>
Problem-solving<br>
Conflict resolution</p>
",,"<p>13th-month pay<br>
Bonus<br>
Stock options</p>
","<p>Social Security</p>
",,"Aventura, Web2asia, Walkthechat","<p>3 rounds interview</p>
",Full Time Job,2023-06-05,,70000,85000,£,2023-04-21 09:54:55,2023-04-21 09:54:56,,Hybrid,0.18,Paused,,90,,"<p><a href=""https://www.linkedin.com/company/charlotte-tilbury-beauty-ltd/"" target=""_blank"">https://www.linkedin.com/company/charlotte-tilbury-beauty-ltd/</a><br>
<a href=""https://www.linkedin.com/company/superordinaryco/"" target=""_blank"">https://www.linkedin.com/company/superordinaryco/</a><br>
<a href=""https://www.linkedin.com/company/nextbeautylondon/"" target=""_blank"">https://www.linkedin.com/company/nextbeautylondon/</a><br>
<a href=""https://www.linkedin.com/company/ushopal/"" target=""_blank"">https://www.linkedin.com/company/ushopal/</a></p>
","<p>Big plus if the candidates come from:<br>
Super Ordinary<br>
NextBeauty<br>
Glossy<br>
Ushopal<br>
Charlotte Tilbory</p>
",https://www.kuaicommerce.com,N/A,+44 7769 803 984,"<p>Very good relationship with the client</p>
","<p>For the short term, there will be no job changes planned.<br>
For the long term it will obviously be possible</p>
","<p>First time that we are mandated by Kuai.<br>
However we have known them for a long time.</p>
",,"<p>They  raised a few million pounds from from Playfair capital</p>
",5,8,5,5,,
recVkUIc200uXUljl,asia/china,asia/china,China,Country,3,eastern-asia,105.00000000,35.00000000,CHN,CNY,86,"UTC+06:00,UTC+08:00",,recd2JuaCjBahAJjn,2023-04-21 09:52:19,2023-04-21 09:52:20,,Kuai-Store Manager,recVkUIc200uXUljl,kuai,jonnyplein@kuaicommerce.com,lery,2,store-manager,,https://drive.google.com/file/d/1ROszlQ3Bf54rrmMb2KMh2griQK8e8GbE/view?usp=share_link,"<p>Responsible for the day-to-day operations</p>
",,"<p>Experience in cross-border e-commerce<br>
Data analytics skills<br>
Candidate needs to be experienced in stock forecasting.<br>
They need to be experienced in building customer service teams to help, run the customer support for the stores</p>
","<p>Excellent customer service skills<br>
Great communication<br>
Leadership skills</p>
","<p>Kuai has a very clear view of  the role for the next six to 12 months, but as the company grows employee's roles will be expected to change<br>
Their roles will grow as the company grows.</p>
","<p>13th-month pay<br>
Bonus<br>
Stock options</p>
","<p>Social security</p>
",,"Aventura, Web2asia, Walkthechat","<p>3-round interview</p>
",Full Time Job,2023-08-01,,40000,50000,£,2023-04-21 09:54:55,2023-04-21 09:54:56,,Hybrid,0.15,Paused,,90,,"<p><a href=""https://www.linkedin.com/company/charlotte-tilbury-beauty-ltd/"" target=""_blank"">https://www.linkedin.com/company/charlotte-tilbury-beauty-ltd/</a><br>
<a href=""https://www.linkedin.com/company/superordinaryco/"" target=""_blank"">https://www.linkedin.com/company/superordinaryco/</a><br>
<a href=""https://www.linkedin.com/company/nextbeautylondon/"" target=""_blank"">https://www.linkedin.com/company/nextbeautylondon/</a><br>
<a href=""https://www.linkedin.com/company/ushopal/"" target=""_blank"">https://www.linkedin.com/company/ushopal/</a></p>
","<p>Big plus if the candidates come from:<br>
Super Ordinary<br>
NextBeauty<br>
Glossy<br>
Ushopal<br>
Charlotte Tilbory</p>
",https://www.kuaicommerce.com,N/A,+44 7769 803 984,"<p>Very good relationship with the client</p>
","<p>The company is consistently hiring</p>
","<p>First time that we are mandated by Kuai.<br>
However we have known them for a long time.</p>
",,"<p>They  raised a few million pounds from from Playfair capital</p>
",3,5,3,3,,
recfkE9v9SjgMs0Ss,asia/china/hong-kong-sar,asia/china/hong-kong-sar,Hong Kong SAR,State,4,asia/china,114.16936110,22.31930390,,,,,,recPDncBU02FwEmuK,2023-04-21 09:52:19,2023-04-21 09:52:19,,Mutual-B Industry - Sales Representative,recfkE9v9SjgMs0Ss,mutual-b-industry,,philippe,2,sales-representative,,,,,,,,,,,,,Full Time Job,,,,,,2023-04-21 09:54:55,2023-04-21 09:54:56,,,0.2,Paused,,,,,,,,,,,,,,,,,,,
recql4vRdy52jvOWm,asia/china/hong-kong-sar,asia/china/hong-kong-sar,Hong Kong SAR,State,4,asia/china,114.16936110,22.31930390,,,,,,recPDncBU02FwEmuK,2023-04-21 09:52:19,2023-04-21 09:52:19,,Mutual-B Industry - Sales Manager,recql4vRdy52jvOWm,mutual-b-industry,,philippe,1,sales-manager,,,,,,,,,,,,,Full Time Job,,,,,,2023-04-21 09:54:55,2023-04-21 09:54:56,,,0.2,Paused,,,,,,,,,,,,,,,,,,,
rec4uikpCMqbSRZVN,asia/china/shanghai,asia/china/shanghai,Shanghai,State,4,asia/china,121.47370100,31.23041600,,,,,,reccv5TaXEcGhZEcw,2023-04-21 09:52:19,2023-04-21 09:52:20,,Qumin - Insight and Research Strategist,rec4uikpCMqbSRZVN,qumin,arnold.ma@qumin.co.uk,effy-feng,1,research,"<p>Not Provided</p>
",N/A,"<p>DaoInsights.com</p>
<ul class=""liste"">
<li>Lead our editorial team to maximise Dao’s exposure and reach and increase views and newsletter subscribers.</li>
<li>Initiate and optimise all aspects of the website, such as content strategy, SEO, partnerships with media outlets, and collaborative projects/reports with journalists or agencies.<br>
Insights and Research</li>
<li>Lead Dao Insights (Dao Pro) client projects, with 3 main China-focused products – Insights newsletter, deep-dive research reports, and insights/trend workshops. Develop future products under the Dao banner and grow the Insights department.</li>
<li>Stay up to date on China’s marketing, consumer, and sector-based trends, as well as the latest trends in research suppliers and methodologies (both primary &amp; secondary).</li>
<li>Work across a range of different projects including innovation tracking, consumer research, and trend forecasting. This will involve in-depth exploration of a wide variety of market sectors and require skills in research analysis and the articulation of key trends and insights.</li>
<li>Design, execute, and deliver market research and manage market research vendor relationships. Investigate consumer trends and provide insights to our clients.</li>
<li>Understand clients’ key business priorities, drivers, and hypotheses, in order to deliver actionable insights and propose new areas for investigation.</li>
<li>Ability to design and moderate focus groups is a plus.<br>
Strategy</li>
<li>Providing insights &amp; strategy for new business pitches outside of Research &amp; Insights, include informing social media retainers, large-scale campaigns, etc.</li>
<li>Keep the teams focused on the end goals in the execution of projects across the business – brief writing to presentation.</li>
<li>Work with internal teams to develop strategies that fuel client success. Responsible for client KPIs across the business.</li>
<li>Build and maintain client dashboards and reports that illustrate how key performance indicators (KPIs) and metrics are changing over time – responsible for client performance across the business.</li>
<li>Working with our creative and client team to build inspiring, relevant creative briefs and use insights to stimulate great ideas.</li>
</ul>
","<p>Work in a positive culture with people that genuinely love, and are naturally, great at what they do<br>
The client you will work with on this account is really incredible, including Louis Vuitton, Nike, Estee Lauder etc</p>
","<p>Experience of delivering research and insights projects, whether it is from a consultancy (McKinsey, Deloitte etc) or from agency.<br>
Do not have to be Chinese, English needs to be at native level, because most of the output will be in English, and it is talking about insights.</p>
","<ul class=""liste"">
<li>Extremely intelligent – Be the most interesting person in the business and the most interested in people and cultures. Bring beauty to your expertise and be our cultural inspiration.</li>
<li>Excellence – Always aim for the best.</li>
<li>Authority – Can decide on a direction and rally others behind it.</li>
<li>Risky – Push to take bold leaps, even if that means mistakes along the way.</li>
<li>Caring and methodical – Ensure workloads are managed well across the team. Foster happy people as part of a well ran team.</li>
<li>Get sh*t done – Action solutions/changes/processes promptly, religiously deliver on commitments.</li>
<li>Problem solver – More than just being available for meetings, truly listen and action, have a real understanding of team members’ day-to-day problems. Earn a reputation as the go-to person to help our people solve problems, promptly.</li>
<li>Thought leader – You help codify and spread Qumin’s point of view on strategy and brands, through writing, public speaking and influence.</li>
<li>Copy and paste #CuminQumin into your summary/intro. All applications without this hashtag will not be reviewed.</li>
</ul>
","<p>Your career progression is as important to us as it is to you, and we would like to see this role move into a leadership position.</p>
","<p>29 days holiday, private health insurance, workplace pension, competitive salary, discretionary and structured bonuses, birthdays off, regular social events, etc.</p>
","<p>Not Provided</p>
","<p>Not Provided</p>
",N/A,"<p>Initial interview with the CEO for a chat<br>
Then a commercial test<br>
Then final interview</p>
",Full Time Job,,,40000,40000,£,2023-04-21 09:54:55,2023-04-21 09:54:56,,On-site,,Active,,90,"<p>To be provided soon</p>
","<p>Not Provided</p>
",,https://qumin.co.uk/,http://calendly.com/arnoldma,+44 7986538220‍,"<p>Arnold, CEO of Qumin, has good relationship with Jordan, CEO of Cross Path</p>
","<p>Not Provided</p>
","<p>Qumin and Cross Path have worked together on several occasions<br>
Cross Path has successfully helped them find good candidates.</p>
","<p>The client has a genuine need for recruitment.</p>
","<p>Not Provided</p>
",3,5,3,3,5000,0.50
rec6FbicTfw4lJnJb,asia/china/shanghai,asia/china/shanghai,Shanghai,State,4,asia/china,121.47370100,31.23041600,,,,,,reccv5TaXEcGhZEcw,2023-04-21 09:52:19,2023-04-21 09:52:20,,Qumin - Graphic Designer,rec6FbicTfw4lJnJb,qumin,,philippe,1,graphic-designer,,,,,,,,,,,,,,,,,,,2023-04-21 09:54:55,2023-04-21 09:54:56,,,0.08,Closed,,,,,,,,,,,,,,,,,,,
