airtableId,missionId,availableFrom,availableUntil,minSalaryExpect,maxSalaryExpect,degreeSubject,status,missionCandidate,MissionCandidateHardSkills,missionCandidate,MissionCandidateLocations,missionCandidate,MissionCandidateLanguages
rec0ijxnKLBBDIYQ7,rec7MvbTywFTvWryg,,,43000,45000,Web developer,Rejected by CP,rec0ijxnKLBBDIYQ7,"javascript,ruby-on-rails",rec0ijxnKLBBDIYQ7,europe/france,rec0ijxnKLBBDIYQ7,en
rec0int3CbDJkliSl,recUwquxTAuaSpYwc,,,120000,,Biotechnology & Pharmaceutical Management,Interview Process,rec0int3CbDJkliSl,"healthcare,ivd",rec0int3CbDJkliSl,europe/france,rec0int3CbDJkliSl,"en,fr,zh"
rec0j4E310FlCL6zl,rec6N2U5wJf7t3ySH,2023-04-04,2023-04-30,65000,70000,Quimica agrícola,Rejected by client,rec0j4E310FlCL6zl,"cloud-applications,hardware,software",rec0j4E310FlCL6zl,worldwide,rec0j4E310FlCL6zl,"en,es,fr"
rec0jTM9sbzgKMpqP,rec5Vy4oVduUs4WKq,,,2500,,,Sent to Client,rec0jTM9sbzgKMpqP,"business-management,digital-marketing,electronics,logistics,negotiation,sales,sap",,,rec0jTM9sbzgKMpqP,"en,hu"
rec0pko6Vul5U0H61,recETHEgTGsGxaBPv,2023-09-04,,60000,,Systèmes embarqués,Screened by CP,rec0pko6Vul5U0H61,"microsoft-office,vector",rec0pko6Vul5U0H61,europe/france,rec0pko6Vul5U0H61,"en,fr"
rec0QxeXOIvtWkU7A,recAczNwH7Yk3tM2z,,,,,,Rejected by CP,rec0QxeXOIvtWkU7A,.com,,,rec0QxeXOIvtWkU7A,en
rec0rp34NubKJl8V4,recJHwegfLPOBlDmf,,,54000,162000,Information Systems Management,Rejected by client,rec0rp34NubKJl8V4,"microsoft-office,oracle-crm,photoshop,salesforce.com",,,rec0rp34NubKJl8V4,"en,fr"
rec0sRx6amdO0kkVB,recA3Ye1PMACJlO1Z,2023-03-01,,120000,,,Rejected by CP,,,,,rec0sRx6amdO0kkVB,"en,hi"
rec0UyMHemcZU2cCd,recJHwegfLPOBlDmf,,,,,,Rejected by CP,rec0UyMHemcZU2cCd,bto,,,rec0UyMHemcZU2cCd,fr
rec0wK7k0JOIBxEig,recwMSrftJ7BbX5mZ,,,,,,Rejected by CP,,,,,rec0wK7k0JOIBxEig,"en,hi"
rec0x1TasOk6bHSiR,reckP2haWFD9xplVj,2023-04-05,2023-04-08,,,Business Administration & Management,Rejected by CP,rec0x1TasOk6bHSiR,"crm,customer-relations,negotiation,presentation-skills,problem-solving,public-relations,sales,sales-presentations",rec0x1TasOk6bHSiR,europe/netherlands,rec0x1TasOk6bHSiR,"en,si"
rec0X28U5DFjwVB2G,recLaxiCREBzTpmDO,,,40000,,,Rejected by CP,rec0X28U5DFjwVB2G,"udf,upc,upf",,,rec0X28U5DFjwVB2G,en
rec10XB9YYbJmFsYA,rect4fduNiqcXC123,2023-04-17,,60000,,International Business,Interview Process,rec10XB9YYbJmFsYA,"business-development,leadership,management,sales",rec10XB9YYbJmFsYA,europe/france,rec10XB9YYbJmFsYA,"en,fr,zh"
rec137G1mig6nZrkI,recsld3DKqBhnW6rg,2023-04-24,,91500,,Computer Science ,Rejected by CP,rec137G1mig6nZrkI,"hive,java,microsoft-sql-server,object-oriented-languages,python",,,rec137G1mig6nZrkI,en
rec1ELGXcgw4I5HPi,recnBWL7L2B5oicAV,2023-04-04,2023-07-08,55000,65000,Energy Markets,Rejected by client,rec1ELGXcgw4I5HPi,"energy,energy-audits,energy-conservation",rec1ELGXcgw4I5HPi,"europe,europe/france",rec1ELGXcgw4I5HPi,fr
rec1gO76DygLR1LLn,recDD8JBa77gVncOf,,,37500,,,Rejected by client,rec1gO76DygLR1LLn,"account-management,business-development,insurance,sales-support-tools",,,rec1gO76DygLR1LLn,en
rec1HL9iQwL50uUnO,recAczNwH7Yk3tM2z,2023-04-02,,40000,58000,International Trade,Rejected by client,rec1HL9iQwL50uUnO,"agile-methodologies,business-development,sales",,,rec1HL9iQwL50uUnO,"en,es,fr,nl"
rec1kBBtHtKA304Z4,recAtcVMDz425qUT3,,,75000,75000,Computer Science and Mathematics,Rejected by client,rec1kBBtHtKA304Z4,"amazon-web-services-aws,etl,python",rec1kBBtHtKA304Z4,europe/united-kingdom,rec1kBBtHtKA304Z4,en
rec1mIGi8qrfBetmy,recwMSrftJ7BbX5mZ,,,5000,,,Rejected by CP,rec1mIGi8qrfBetmy,"test-automation,test-automation-framework",,,rec1mIGi8qrfBetmy,en
rec1mRvXrmHzx6h4a,recGrGIFWaByaa5dg,,,49000,52000,,Mission closed by client,,,,,rec1mRvXrmHzx6h4a,"ar,en,fr,ur"
rec1S3lYXeRirIjJG,recwMSrftJ7BbX5mZ,,,8000,,,Sent to Client,rec1S3lYXeRirIjJG,"test-automation,test-automation-framework",,,rec1S3lYXeRirIjJG,en
