,salaryMin,minSalaryExpect,Salary_matching_score
0,45000.0,43000.0,-0.2
1,60000.0,120000.0,-6.0
2,40000.0,65000.0,-2.5
3,24000.0,2500.0,-2.15
4,40000.0,60000.0,-2.0
5,30000.0,,
6,54000.0,54000.0,-0.0
7,65000.0,120000.0,-5.5
8,54000.0,,
9,8320.0,,
10,30000.0,,
11,36000.0,40000.0,-0.4
12,45000.0,60000.0,-1.5
13,85000.0,91500.0,-0.65
14,43000.0,55000.0,-1.2
15,30000.0,37500.0,-0.75
16,30000.0,40000.0,-1.0
17,75000.0,75000.0,-0.0
18,8320.0,5000.0,-0.332
19,60000.0,49000.0,-1.1
20,8320.0,8000.0,-0.032
21,60000.0,60000.0,-0.0
22,45000.0,,
23,60000.0,,
24,,600.0,
25,60000.0,72000.0,-1.2
26,35000.0,,
27,8320.0,,
28,45000.0,40000.0,-0.5
29,36000.0,37000.0,-0.1
30,,30000.0,
31,60000.0,68000.0,-0.8
32,,,
33,40000.0,600000.0,-56.0
34,,450.0,
35,8320.0,,
36,43000.0,48000.0,-0.5
37,,60000.0,
38,24000.0,,
39,8320.0,,
40,48000.0,40000.0,-0.8
41,24000.0,,
42,35000.0,40000.0,-0.5
43,8320.0,,
44,8320.0,,
45,40000.0,60.0,-3.994
46,40000.0,40000.0,-0.0
47,75000.0,80000.0,-0.5
48,,30000.0,
49,8320.0,34.0,-0.8286
50,,128000.0,
51,65000.0,120000.0,-5.5
52,54000.0,,
53,30000.0,,
54,48000.0,65000.0,-1.7
55,75000.0,81000.0,-0.6
56,8320.0,0.0,-0.832
57,48000.0,49000.0,-0.1
58,,,
59,85000.0,90000.0,-0.5
60,60000.0,,
61,24000.0,,
62,55000.0,0.0,-5.5
63,60000.0,150000.0,-9.0
64,45000.0,50000.0,-0.5
65,8320.0,,
66,75000.0,80000.0,-0.5
67,30000.0,35000.0,-0.5
68,48000.0,72000.0,-2.4
69,40000.0,70000.0,-3.0
70,85000.0,6000.0,-7.9
71,30000.0,32000.0,-0.2
72,37000.0,47000.0,-1.0
73,40000.0,42000.0,-0.2
74,35000.0,,
75,,55000.0,
76,,57000.0,
77,35000.0,37.0,-3.4963
78,65000.0,60000.0,-0.5
